iso	name	wahlberechtigt	abgegeben	gueltig	spoe	oevp	fpoe	gruene	neos	pilz	gilt	floe	kpoe	weisse	slp	euaus	m	cpoe	nbz	odp
G00000	Österreich	6400998	5120879	5069929	1361746	1595526	1316442	192638	268518	223544	48233	8889	39689	9167	713	693	221	425	2724	761
G1A000	Burgenland Nord	122645	103971	102946	34186	33221	25142	2266	3401	3314	730	129	428	129						
G1B000	Burgenland Süd	110095	92589	91684	29884	30637	23985	1666	2202	2215	565	144	294	92						
G2A000	Klagenfurt	121194	94029	92902	27426	25420	25518	3158	4917	4574	954	135	614	186						
G2B000	Villach	96373	75608	74666	23894	17411	23813	1852	3265	2907	867	93	398	166						
G2C000	Kärnten West	100894	79622	78511	20944	23224	26250	1562	3149	2215	634	113	271	149						
G2D000	Kärnten Ost	121746	96095	94709	27659	25403	32634	1677	3361	2602	642	125	429	177						
G3A000	Weinviertel	171571	147252	145600	31774	57779	36566	3976	6676	6117	1417	300	738	257						
G3B000	Waldviertel	178958	152609	150290	30829	63820	38849	3412	6036	4595	1575	237	664	273						
G3C000	Mostviertel	194482	167117	164806	39144	63455	42380	4105	7175	5100	2048	189	790	420						
G3D000	Niederösterreich Mitte	238936	202826	200554	51872	67690	48569	6842	10982	9993	2744	241	1208	413						
G3E000	Niederösterreich Süd	159460	132065	130530	34977	41957	37961	2804	5209	4930	1588	140	693	271						
G3F000	Thermenregion	195877	165531	164036	44068	51890	38326	5916	11321	9173	1842	204	1011	285						
G3G000	Niederösterreich Ost	149518	124939	123723	34684	37688	37360	2564	4416	4859	1187	149	612	204						
G4A000	Linz und Umgebung	247049	193848	192132	67233	46210	46052	8686	10399	8928	2130	151	1981	307	55					
G4B000	Innviertel	167093	133837	132206	27052	47826	42573	3880	5256	3583	1100	165	500	250	21					
G4C000	Hausruckviertel	272358	223714	221001	56535	69393	64579	7752	10521	7946	2093	220	1073	856	33					
G4D000	Traunviertel	197375	162625	160586	48205	47753	42052	5409	7716	6138	1853	147	870	400	43					
G4E000	Mühlviertel	219789	188777	186150	47176	69413	44188	7065	8664	6177	1965	171	1002	298	31					
G5A000	Salzburg Stadt	99914	74976	74375	19571	23379	15111	5026	5172	3951	760	371	922	112						
G5B000	Flachgau/Tennengau	157060	130478	129021	25652	51373	31359	5294	7786	4635	1329	556	705	332						
G5C000	Lungau/Pinzgau/Pongau	138749	113691	112387	24968	44320	30650	2394	5027	2563	689	1275	301	200						
G6A000	Graz und Umgebung	317689	250526	249038	64789	71375	59011	12290	18569	15119	2353	358	4859	315						
G6B000	Oststeiermark	217696	178283	176677	31150	68912	58476	3540	7059	4406	1509	466	874	285						
G6C000	Weststeiermark	159147	126322	125292	29138	40151	43642	2053	4844	3277	938	310	747	192						
G6D000	Obersteiermark	275121	218876	217128	67661	61479	64861	3547	7869	7178	1723	554	1921	335						
G7A000	Innsbruck	88754	67616	67053	18986	17887	13955	5366	5112	4057	599	125	824	142						
G7B000	Innsbruck-Land	191660	148871	147742	31002	54927	39035	6185	8361	5728	1129	253	790	332						
G7C000	Unterland	122533	93311	92576	17282	38920	24221	3424	4233	2930	790	192	403	181						
G7D000	Oberland	100459	75361	74656	13480	32831	18291	2439	4327	2058	563	122	365	180						
G7E000	Osttirol	39710	29740	29395	4900	13527	7108	953	1504	973	218	37	110	65						
G8A000	Vorarlberg Nord	152295	109024	108379	18711	38934	25908	7707	9556	3232	973	163	682	226			113	186	1988	
G8B000	Vorarlberg Süd	120614	88101	87506	16250	29048	21929	6430	8110	2573	1049	208	619	207			108	239	736	
G9A000	Wien Innen-Süd	108806	84369	83858	29167	18469	11793	7012	6948	7914	660	59	1598	92	46	43				57
G9B000	Wien Innen-West	96347	78523	78189	25290	19159	7771	7978	7549	8170	539	56	1505	56	31	47				38
G9C000	Wien Innen-Ost	107757	78856	78211	30435	13356	14931	6066	4525	6352	697	94	1423	96	78	65				93
G9D000	Wien Süd	226187	161632	160051	60624	28153	45786	5561	6721	9093	1487	178	1816	165	125	175				167
G9E000	Wien Süd-West	210312	164063	162910	52482	40216	33029	9263	11517	12403	1350	143	2001	180	65	120				141
G9F000	Wien Nord-West	172570	134137	133232	42286	34031	21453	9929	10930	10867	1102	123	2080	140	86	88				117
G9G000	Wien Nord	232205	176850	175221	60380	34889	51325	5589	8133	10699	1842	193	1568	201	99	155				148
G10000	Burgenland	232740	196577	194630	64070	63858	49127	3932	5603	5529	1295	273	722	221						
G20000	Kärnten	440207	345354	340788	99923	91458	108215	8249	14692	12298	3097	466	1712	678						
G30000	Niederösterreich	1288802	1092339	1079539	267348	384279	280011	29619	51815	44767	12401	1460	5716	2123						
G40000	Oberösterreich	1103664	902801	892075	246201	280595	239444	32792	42556	32772	9141	854	5426	2111	183					
G50000	Salzburg	395723	319159	315783	70191	119072	77120	12714	17985	11149	2778	2202	1928	644						
G60000	Steiermark	969653	774037	768135	192738	241917	225990	21430	38341	29980	6523	1688	8401	1127						
G70000	Tirol	543116	414913	411422	85650	158092	102610	18367	23537	15746	3299	729	2492	900						
G80000	Vorarlberg	272909	197125	195885	34961	67982	47837	14137	17666	5805	2022	371	1301	433			221	425	2724	
G90000	Wien	1154184	878574	871672	300664	188273	186088	51398	56323	65498	7677	846	11991	930	530	693				761
