iso	mandate
G00000	183
G10000	7
G1A000	4
G1B000	3
G20000	13
G2A000	3
G2B000	3
G2C000	3
G2D000	4
G30000	37
G3A000	5
G3B000	5
G3C000	6
G3D000	7
G3E000	5
G3F000	5
G3G000	4
G40000	32
G4A000	7
G4B000	5
G4C000	8
G4D000	6
G4E000	6
G50000	11
G5A000	3
G5B000	4
G5C000	4
G60000	27
G6A000	9
G6B000	6
G6C000	4
G6D000	8
G70000	15
G7A000	2
G7B000	5
G7C000	4
G7D000	3
G7E000	1
G80000	8
G8A000	4
G8B000	4
G90000	33
G9A000	3
G9B000	3
G9C000	3
G9D000	7
G9E000	6
G9F000	5
G9G000	6
