gkz,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,GRÜNE,NEOS,PILZ,GILT,FLÖ,KPÖ,WEIßE,SLP,EUAUS,M,CPÖ,NBZ,ODP
G00000,Österreich,6400998,4324760,45548,4279212,1144516,1341930,1170455,141959,212251,177035,39466,7731,31381,7604,571,500,183,338,2631,661
G10000,Burgenland,232740,176123,1796,174327,57313,57052,45362,3166,4737,4607,1116,229,572,173,,,,,,
G10099,Wahlkarten - Burgenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
G1A000,Burgenland Nord,122645,93373,965,92408,30654,29695,23262,1872,2915,2799,652,110,349,100,,,,,,
G1A099,Wahlkarten - Burgenland Nord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
G1B000,Burgenland Süd,110095,82750,831,81919,26659,27357,22100,1294,1822,1808,464,119,223,73,,,,,,
G1B099,Wahlkarten - Burgenland Süd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
G10100,Eisenstadt(Stadt),10628,7546,64,7482,1862,3037,1521,283,351,314,52,9,48,5,,,,,,
G10101,Eisenstadt,10628,7546,64,7482,1862,3037,1521,283,351,314,52,9,48,5,,,,,,
G10199,Wahlkarten - Eisenstadt(Stadt),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
G10200,Rust(Stadt),1564,1116,9,1107,369,330,309,25,36,24,11,0,3,0,,,,,,
G10201,Rust,1564,1116,9,1107,369,330,309,25,36,24,11,0,3,0,,,,,,
G10299,Wahlkarten - Rust(Stadt),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
G10300,Eisenstadt-Umgebung,33905,26426,283,26143,9100,8234,6364,490,778,804,212,31,104,26,,,,,,
G10301,Breitenbrunn am Neusiedler See,1598,1199,15,1184,408,356,264,28,40,74,10,1,3,0,,,,,,
G10302,Donnerskirchen,1520,1157,12,1145,312,427,310,24,28,28,10,1,3,2,,,,,,
G10303,Großhöflein,1661,1293,14,1279,371,484,306,26,37,40,3,6,6,0,,,,,,
G10304,Hornstein,2324,1708,20,1688,613,491,387,40,43,71,26,1,13,3,,,,,,
G10305,Klingenbach,898,721,10,711,331,188,149,7,11,14,7,1,0,3,,,,,,
G10306,Leithaprodersdorf,948,786,8,778,165,394,152,16,27,16,6,0,2,0,,,,,,
G10307,Mörbisch am See,1829,1455,11,1444,513,424,406,22,38,22,13,0,5,1,,,,,,
G10308,Müllendorf,1139,885,13,872,304,258,208,13,41,38,5,1,4,0,,,,,,
G10309,Neufeld an der Leitha,2565,1981,20,1961,804,414,540,27,64,81,17,5,8,1,,,,,,
G10310,Oggau am Neusiedler See,1471,1203,13,1190,417,425,278,16,21,24,1,4,3,1,,,,,,
G10311,Oslip,1023,836,8,828,325,290,153,21,18,11,4,0,5,1,,,,,,
G10312,Purbach am Neusiedler See,2364,1845,17,1828,528,622,513,36,46,62,10,2,5,4,,,,,,
G10313,Sankt Margarethen im Burgenland,2294,1797,25,1772,463,670,487,33,56,40,13,0,9,1,,,,,,
G10314,Schützen am Gebirge,1107,894,14,880,241,396,177,15,27,20,1,1,1,1,,,,,,
